title,id,categories,version,total_versions,date,delta_time,is_pdf,grobid,pages,delta_pages,tokens_cnt,delta_tokens_cnt,token_density,words_cnt,removed_words_cnt,added_words_cnt,relative_added_words,relative_removed_words,ref_cnt,delta_ref_cnt,authors_cnt,delta_authors_cnt,figures_cnt,delta_figures_cnt,figures_density,title_changed,abstract_changed
Charged black rings from inverse scattering,1305.4969,hep-th gr-qc,2,2,2013-08-31 23:53:35+00:00,102 days 02:12:39,True,True,24.0,1.0,6631.0,137.0,276.2916666666667,1413.0,9.0,22.0,0.0162659123055162,0.0071736011477761,49.0,4.0,4.0,0.0,5.0,0.0,0.2083333333333333,False,False
Metamaterial Van Hove Singularity,1305.5857,physics.optics cond-mat.mes-hall,1,2,2013-05-24 20:47:45+00:00,,True,True,9.0,,4467.0,,496.3333333333333,1165.0,,,,,36.0,,2.0,,4.0,,0.4444444444444444,,
Metamaterial Van Hove Singularity,1305.5857,physics.optics cond-mat.mes-hall,2,2,2013-07-25 00:09:52+00:00,61 days 03:22:07,True,True,10.0,1.0,4701.0,234.0,470.1,1210.0,7.0,43.0,0.0363336085879438,0.006861063464837,39.0,3.0,2.0,0.0,4.0,0.0,0.4,False,False
The effect of initial conditions on the electromagnetic radiation generation in type III solar radio bursts,1305.6038,astro-ph.SR physics.plasm-ph physics.space-ph,1,2,2013-05-26 15:56:58+00:00,,True,True,8.0,,5152.0,,644.0,1094.0,,,,,19.0,,2.0,,5.0,,0.625,,
The effect of initial conditions on the electromagnetic radiation generation in type III solar radio bursts,1305.6038,astro-ph.SR physics.plasm-ph physics.space-ph,2,2,2013-07-12 09:17:12+00:00,46 days 17:20:14,True,True,8.0,0.0,5152.0,0.0,644.0,1086.0,12.0,14.0,0.0137994480220791,0.0118721461187214,21.0,2.0,2.0,0.0,5.0,0.0,0.625,False,True
Energy coupled mode theory for an arbitrary number of resonators,1305.6085,cond-mat.other physics.optics,1,4,2013-05-27 00:53:29+00:00,,True,True,37.0,,4894.0,,132.27027027027026,1214.0,,,,,59.0,,3.0,,12.0,,0.3243243243243243,,
Energy coupled mode theory for an arbitrary number of resonators,1305.6085,cond-mat.other physics.optics,2,4,2013-06-02 20:08:08+00:00,6 days 19:14:39,True,True,24.0,-13.0,5289.0,395.0,220.375,1205.0,33.0,25.0,0.0215588723051409,0.0279835390946502,59.0,0.0,3.0,0.0,5.0,-7.0,0.2083333333333333,False,
Energy Coupled Mode Theory for Electromagnetic Resonators,1305.6085,cond-mat.other physics.optics,3,4,2014-10-01 04:17:10+00:00,485 days 08:09:02,True,True,6.0,-18.0,3940.0,-1349.0,656.6666666666666,1094.0,602.0,473.0,0.4328767123287671,0.5,46.0,-13.0,3.0,0.0,9.0,4.0,1.5,True,
Energy Coupled Mode Theory for Electromagnetic Resonators,1305.6085,cond-mat.other physics.optics,4,4,2014-10-04 01:20:14+00:00,2 days 21:03:04,True,True,6.0,0.0,3940.0,0.0,656.6666666666666,1094.0,0.0,0.0,0.0009132420091324,0.0009132420091324,46.0,0.0,3.0,0.0,9.0,0.0,1.5,False,True
Decomposing the dynamics of heterogeneous delayed networks with applications to connected vehicle systems,1305.6771,nlin.AO math.DS,1,4,2013-05-29 12:34:16+00:00,,True,True,5.0,,2330.0,,466.0,739.0,,,,,28.0,,2.0,,2.0,,0.4,,
Decomposing the dynamics of heterogeneous delayed networks with applications to connected vehicle systems,1305.6771,nlin.AO math.DS,2,4,2013-06-04 08:44:40+00:00,5 days 20:10:24,True,True,5.0,0.0,2327.0,-3.0,465.4,740.0,33.0,33.0,0.0458839406207827,0.0459459459459459,26.0,-2.0,2.0,0.0,2.0,0.0,0.4,False,False
"Decomposing the dynamics of heterogeneous delayed networks with
  applications to connected vehicle systems",1305.6771,nlin.AO math.DS,3,4,2013-06-07 08:30:56+00:00,,False,False,,,,,,,,,,,,,,,,,,,
Decomposing the dynamics of heterogeneous delayed networks with applications to connected vehicle systems,1305.6771,nlin.AO math.DS,4,4,2013-09-27 12:37:25+00:00,,True,True,5.0,,2682.0,,536.4,806.0,,,,,28.0,,2.0,,2.0,,0.4,,
Linear-scaling and parallelizable algorithms for stochastic quantum chemistry,1305.6981,physics.comp-ph cond-mat.str-el physics.chem-ph,1,3,2013-05-30 00:19:11+00:00,,True,True,15.0,,9472.0,,631.4666666666667,1715.0,,,,,63.0,,3.0,,6.0,,0.4,,
Linear-scaling and parallelizable algorithms for stochastic quantum chemistry,1305.6981,physics.comp-ph cond-mat.str-el physics.chem-ph,2,3,2013-06-24 16:14:09+00:00,25 days 15:54:58,True,True,16.0,1.0,9709.0,237.0,606.8125,1740.0,12.0,35.0,0.0206777713957495,0.0075757575757575,64.0,1.0,3.0,0.0,6.0,0.0,0.375,False,True
Linear-scaling and parallelizable algorithms for stochastic quantum chemistry,1305.6981,physics.comp-ph cond-mat.str-el physics.chem-ph,3,3,2013-06-26 13:07:55+00:00,1 days 20:53:46,True,True,16.0,0.0,9714.0,5.0,607.125,1744.0,2.0,3.0,0.0022922636103151,0.0017231476163124,68.0,4.0,3.0,0.0,6.0,0.0,0.375,False,True
Off-diagonal Bethe ansatz and exact solution a topological spin ring,1305.7328,cond-mat.stat-mech hep-th math-ph math.MP,1,4,2013-05-31 08:57:10+00:00,,True,True,4.0,,1789.0,,447.25,576.0,,,,,26.0,,4.0,,3.0,,0.75,,
Off-diagonal Bethe ansatz and exact solution of a topological spin ring,1305.7328,cond-mat.stat-mech hep-th math-ph math.MP,2,4,2013-06-06 13:09:01+00:00,,False,False,,,,,,,,,,,,,,,,,,,
Off-diagonal Bethe ansatz and exact solution of a topological spin ring,1305.7328,cond-mat.stat-mech hep-th math-ph math.MP,3,4,2013-07-01 13:04:17+00:00,,True,True,5.0,,1983.0,,396.6,621.0,,,,,26.0,,4.0,,1.0,,0.2,,
Off-diagonal Bethe ansatz and exact solution of a topological spin ring,1305.7328,cond-mat.stat-mech hep-th math-ph math.MP,4,4,2013-09-25 03:35:15+00:00,85 days 14:30:58,True,True,6.0,1.0,2210.0,227.0,368.3333333333333,671.0,16.0,67.0,0.1011904761904761,0.0273311897106109,28.0,2.0,4.0,0.0,2.0,1.0,0.3333333333333333,False,True
Characterizing the local primary dendrite arm spacing in directionally-solidified dendritic microstructures,1305.7380,cond-mat.mtrl-sci,1,2,2013-05-31 12:55:30+00:00,,True,True,26.0,,5784.0,,222.46153846153845,1051.0,,,,,25.0,,4.0,,11.0,,0.4230769230769231,,
Characterizing the local primary dendrite arm spacing in directionally-solidified dendritic microstructures,1305.7380,cond-mat.mtrl-sci,2,2,2013-06-10 12:41:39+00:00,9 days 23:46:09,True,True,26.0,0.0,5784.0,0.0,222.46153846153845,1051.0,0.0,0.0,0.0009505703422053,0.0009505703422053,25.0,0.0,4.0,0.0,11.0,0.0,0.4230769230769231,False,True
COSMOGRAPHY OF THE LOCAL UNIVERSE,1306.0091,astro-ph.CO,1,4,2013-06-01 10:05:52+00:00,,True,True,31.0,,8725.0,,281.4516129032258,1737.0,,,,,46.0,,5.0,,22.0,,0.7096774193548387,,
COSMOGRAPHY OF THE LOCAL UNIVERSE,1306.0091,astro-ph.CO,2,4,2013-06-04 21:59:57+00:00,3 days 11:54:05,True,True,31.0,0.0,8725.0,0.0,281.4516129032258,1737.0,0.0,0.0,0.0005753739930955,0.0005753739930955,46.0,0.0,5.0,0.0,22.0,0.0,0.7096774193548387,False,True
COSMOGRAPHY OF THE LOCAL UNIVERSE,1306.0091,astro-ph.CO,3,4,2013-06-12 08:19:32+00:00,7 days 10:19:35,True,True,31.0,0.0,8725.0,0.0,281.4516129032258,1737.0,0.0,0.0,0.0005753739930955,0.0005753739930955,46.0,0.0,5.0,0.0,22.0,0.0,0.7096774193548387,False,True
COSMOGRAPHY OF THE LOCAL UNIVERSE,1306.0091,astro-ph.CO,4,4,2013-06-13 13:58:01+00:00,1 days 05:38:29,True,True,31.0,0.0,8725.0,0.0,281.4516129032258,1737.0,0.0,0.0,0.0005753739930955,0.0005753739930955,46.0,0.0,5.0,0.0,22.0,0.0,0.7096774193548387,False,True
Gauge invariant electromagnetic properties of fermions induced by CP T violation in the Standard Model Extension,1306.0262,hep-ph,1,2,2013-06-02 23:54:08+00:00,,True,True,13.0,,5490.0,,422.3076923076923,1038.0,,,,,71.0,,4.0,,4.0,,0.3076923076923077,,
Gauge invariant electromagnetic properties of fermions induced by CP T violation in the Standard Model Extension,1306.0262,hep-ph,2,2,2014-03-19 04:11:00+00:00,289 days 04:16:52,True,True,13.0,0.0,5387.0,-103.0,414.38461538461536,1024.0,17.0,3.0,0.0039024390243902,0.0173243503368623,53.0,-18.0,4.0,0.0,6.0,2.0,0.4615384615384615,False,False
A universal set of qubit quantum channels,1306.0495,quant-ph math-ph math.MP,1,2,2013-06-03 16:50:35+00:00,,True,True,34.0,,9316.0,,274.0,1326.0,,,,,50.0,,5.0,,9.0,,0.2647058823529412,,
A universal set of qubit quantum channels,1306.0495,quant-ph math-ph math.MP,2,2,2014-03-06 07:10:31+00:00,275 days 14:19:56,True,True,35.0,1.0,9814.0,498.0,280.4,1382.0,4.0,58.0,0.0426608821402747,0.0037678975131876,50.0,0.0,5.0,0.0,9.0,0.0,0.2571428571428571,False,False
A first-principles linear response description of the spin Nernst effect,1306.0621,cond-mat.mtrl-sci cond-mat.mes-hall,1,2,2013-06-03 23:30:14+00:00,,True,True,5.0,,3011.0,,602.2,791.0,,,,,48.0,,4.0,,4.0,,0.8,,
First-principles linear response description of the spin Nernst effect,1306.0621,cond-mat.mtrl-sci cond-mat.mes-hall,2,2,2013-11-21 14:53:09+00:00,170 days 15:22:55,True,True,5.0,0.0,3163.0,152.0,632.6,841.0,23.0,80.0,0.0961995249406175,0.0303030303030303,51.0,3.0,4.0,0.0,4.0,0.0,0.8,True,False
"The size of quantum superpositions as measured with ""classical"" detectors",1306.0843,quant-ph,1,2,2013-06-04 16:14:14+00:00,,True,True,5.0,,2611.0,,522.2,781.0,,,,,16.0,,3.0,,3.0,,0.6,,
"The size of quantum superpositions as measured with ""classical"" detectors",1306.0843,quant-ph,2,2,2013-07-10 12:59:27+00:00,35 days 20:45:13,True,True,5.0,0.0,2510.0,-101.0,502.0,770.0,22.0,11.0,0.0155642023346303,0.0294117647058823,17.0,1.0,3.0,0.0,3.0,0.0,0.6,False,True
A Nearly Polar Orbit for the Extrasolar Hot Jupiter WASP-79b 1,1306.0878,astro-ph.EP,1,2,2013-06-04 19:02:48+00:00,,True,True,7.0,,3596.0,,513.7142857142857,1046.0,,,,,41.0,,8.0,,4.0,,0.5714285714285714,,
A Nearly Polar Orbit for the Extrasolar Hot Jupiter WASP-79b 1,1306.0878,astro-ph.EP,2,2,2013-08-02 03:35:53+00:00,58 days 08:33:05,True,True,8.0,1.0,3494.0,-102.0,436.75,1016.0,116.0,84.0,0.0835791543756145,0.1117478510028653,39.0,-2.0,8.0,0.0,6.0,2.0,0.75,False,False
Large Chern Number Quantum Anomalous Hall Effect In Thin-film Topological Crystalline Insulators,1306.0888,cond-mat.mes-hall,1,2,2013-06-04 19:44:40+00:00,,True,True,7.0,,3081.0,,440.14285714285717,956.0,,,,,32.0,,3.0,,7.0,,1.0,,
Large Chern Number Quantum Anomalous Hall Effect In Thin-film Topological Crystalline Insulators,1306.0888,cond-mat.mes-hall,2,2,2013-06-23 22:08:45+00:00,19 days 02:24:05,True,True,7.0,0.0,3442.0,361.0,491.7142857142857,993.0,60.0,83.0,0.0845070422535211,0.0637408568443051,32.0,0.0,3.0,0.0,8.0,1.0,1.1428571428571428,False,
Recombination rates from potential models close to the unitary limit,1306.1711,physics.atom-ph cond-mat.quant-gas nucl-th,1,2,2013-06-07 12:56:19+00:00,,True,True,23.0,,5520.0,,240.0,1015.0,,,,,40.0,,3.0,,12.0,,0.5217391304347826,,
Recombination rates from potential models close to the unitary limit,1306.1711,physics.atom-ph cond-mat.quant-gas nucl-th,2,2,2013-09-15 20:53:49+00:00,100 days 07:57:30,True,True,26.0,3.0,5994.0,474.0,230.53846153846155,1060.0,25.0,65.0,0.062205466540999,0.0255905511811023,33.0,-7.0,3.0,0.0,13.0,1.0,0.5,False,True
THE LICHNEROWICZ EQUATION ON COMPACT MANIFOLDS WITH BOUNDARY,1306.1801,gr-qc math.AP,1,2,2013-06-07 18:16:59+00:00,,True,True,32.0,,9344.0,,292.0,1336.0,,,,,18.0,,2.0,,16.0,,0.5,,
THE LICHNEROWICZ EQUATION ON COMPACT MANIFOLDS WITH BOUNDARY,1306.1801,gr-qc math.AP,2,2,2013-09-06 04:33:20+00:00,90 days 10:16:21,True,True,33.0,1.0,9889.0,545.0,299.6666666666667,1425.0,7.0,83.0,0.0589060308555399,0.0059835452505609,24.0,6.0,2.0,0.0,15.0,-1.0,0.4545454545454545,False,False
Possible interpretations of X(3940),1306.2780,hep-ph,1,4,2013-06-12 10:32:41+00:00,,True,True,3.0,,1054.0,,351.3333333333333,342.0,,,,,16.0,,3.0,,0.0,,0.0,,
Possible interpretations of X(3940),1306.2780,hep-ph,2,4,2013-06-18 05:28:12+00:00,5 days 18:55:31,True,True,3.0,0.0,1054.0,0.0,351.3333333333333,342.0,0.0,0.0,0.0029154518950437,0.0029154518950437,16.0,0.0,3.0,0.0,0.0,0.0,0.0,False,True
Decays of X(3940) as cc States,1306.2780,hep-ph,3,4,2014-04-28 06:19:46+00:00,314 days 00:51:34,True,True,4.0,1.0,1466.0,412.0,366.5,451.0,40.0,149.0,0.331858407079646,0.119533527696793,21.0,5.0,3.0,0.0,4.0,4.0,1.0,True,False
Exclusion of cc Interpretation for X(3940),1306.2780,hep-ph,4,4,2015-11-13 07:31:02+00:00,564 days 01:11:16,True,True,8.0,4.0,2649.0,1183.0,331.125,756.0,4.0,285.0,0.3778071334214002,0.0110619469026548,103.0,82.0,3.0,0.0,4.0,0.0,0.5,True,False
"A simple, quantitative method to infer the minimum atmospheric height of small exoplanets",1306.3221,astro-ph.EP astro-ph.IM,1,2,2013-06-13 20:00:00+00:00,,True,True,7.0,,3378.0,,482.57142857142856,1023.0,,,,,29.0,,3.0,,5.0,,0.7142857142857143,,
"A simple, quantitative method to infer the minimum atmospheric height of small exoplanets",1306.3221,astro-ph.EP astro-ph.IM,2,2,2013-06-25 15:29:35+00:00,11 days 19:29:35,True,True,7.0,0.0,3441.0,63.0,491.57142857142856,1037.0,18.0,25.0,0.02504816955684,0.0185546875,32.0,3.0,3.0,0.0,6.0,1.0,0.8571428571428571,False,False
Noname manuscript No,1306.5175,math-ph math.MP math.PR q-bio.NC,1,2,2013-06-21 15:40:58+00:00,,True,True,31.0,,8925.0,,287.9032258064516,1540.0,,,,,36.0,,3.0,,11.0,,0.3548387096774194,,
Noname manuscript No,1306.5175,math-ph math.MP math.PR q-bio.NC,2,2,2014-05-15 11:55:58+00:00,327 days 20:15:00,True,True,28.0,-3.0,8274.0,-651.0,295.5,1504.0,143.0,110.0,0.0737541528239202,0.0934458144062297,33.0,-3.0,2.0,-1.0,5.0,-6.0,0.1785714285714285,False,False
"A HIGH EARTH, LUNAR RESONANT ORBIT FOR LOWER COST SPACE SCIENCE MISSIONS",1306.5333,astro-ph.EP,1,3,2013-06-22 16:23:49+00:00,,True,True,15.0,,4337.0,,289.1333333333333,741.0,,,,,2.0,,4.0,,15.0,,1.0,,
"A HIGH EARTH, LUNAR RESONANT ORBIT FOR LOWER COST SPACE SCIENCE MISSIONS",1306.5333,astro-ph.EP,2,3,2013-07-30 20:29:27+00:00,38 days 04:05:38,True,True,20.0,5.0,9451.0,5114.0,472.55,1378.0,167.0,789.0,0.5728788977519942,0.2264150943396226,6.0,4.0,4.0,0.0,27.0,12.0,1.35,False,False
"A HIGH EARTH, LUNAR RESONANT ORBIT FOR LOWER COST SPACE SCIENCE MISSIONS",1306.5333,astro-ph.EP,3,3,2013-08-07 21:59:30+00:00,8 days 01:30:03,True,True,20.0,0.0,9587.0,136.0,479.35,1377.0,3.0,1.0,0.0014513788098693,0.0029006526468455,6.0,0.0,4.0,0.0,30.0,3.0,1.5,False,True
Axion response in Weyl semimetals,1306.5344,cond-mat.mes-hall,1,2,2013-06-22 18:49:15+00:00,,True,True,7.0,,3423.0,,489.0,828.0,,,,,27.0,,3.0,,0.0,,0.0,,
Axion response in Weyl semimetals,1306.5344,cond-mat.mes-hall,2,2,2013-09-06 20:57:58+00:00,76 days 02:08:43,True,True,7.0,0.0,3484.0,61.0,497.7142857142857,836.0,6.0,15.0,0.019115890083632,0.008443908323281,27.0,0.0,3.0,0.0,1.0,1.0,0.1428571428571428,False,True
Goos-Hänchen like Shifts in Graphene Double Barriers,1306.5679,cond-mat.mes-hall quant-ph,1,2,2013-06-24 17:19:12+00:00,,True,True,16.0,,3470.0,,216.875,807.0,,,,,24.0,,4.0,,9.0,,0.5625,,
Goos-Hänchen like Shifts in Graphene Double Barriers,1306.5679,cond-mat.mes-hall quant-ph,2,2,2013-11-30 10:40:59+00:00,158 days 17:21:47,True,True,17.0,1.0,4000.0,530.0,235.2941176470588,908.0,19.0,112.0,0.1243124312431243,0.0247524752475247,27.0,3.0,4.0,0.0,7.0,-2.0,0.4117647058823529,False,False
Clues on void evolution II: Measuring density and velocity profiles on SDSS galaxy redshift space distortions,1306.5799,astro-ph.CO,1,2,2013-06-24 22:47:47+00:00,,True,True,11.0,,7611.0,,691.9090909090909,1506.0,,,,,79.0,,5.0,,4.0,,0.3636363636363636,,
Clues on void evolution II: Measuring density and velocity profiles on SDSS galaxy redshift space distortions,1306.5799,astro-ph.CO,2,2,2013-09-26 14:09:43+00:00,93 days 15:21:56,True,True,12.0,1.0,8158.0,547.0,679.8333333333334,1617.0,26.0,129.0,0.0803461063040791,0.0179163901791639,80.0,1.0,5.0,0.0,4.0,0.0,0.3333333333333333,False,True
Impact of sintering temperature on room temperature magnetoresistive and magneto-caloric properties of Pr 2/3 Sr 1/3 MnO 3,1306.6792,cond-mat.str-el cond-mat.mtrl-sci,1,2,2013-06-28 11:15:10+00:00,,True,True,19.0,,1931.0,,101.63157894736842,682.0,,,,,28.0,,5.0,,12.0,,0.631578947368421,,
Impact of sintering temperature on room temperature magnetoresistive and magneto-caloric properties of Pr 2/3 Sr 1/3 MnO 3,1306.6792,cond-mat.str-el cond-mat.mtrl-sci,2,2,2013-07-17 05:41:10+00:00,18 days 18:26:00,True,True,19.0,0.0,1931.0,0.0,101.63157894736842,682.0,0.0,0.0,0.0014641288433382,0.0014641288433382,28.0,0.0,5.0,0.0,12.0,0.0,0.631578947368421,False,True
"Direct evidence for a Coulombic phase in monopole-suppressed SU(2)
  lattice gauge theory",1306.6921,hep-lat,1,2,2013-06-28 18:13:14+00:00,,False,False,,,,,,,,,,,,,,,,,,,
Direct evidence for a Coulombic phase in monopole-suppressed SU(2) lattice gauge theory,1306.6921,hep-lat,2,2,2013-09-11 15:57:28+00:00,,True,True,21.0,,6466.0,,307.9047619047619,1262.0,,,,,32.0,,1.0,,8.0,,0.3809523809523809,,
Interplay between surface anisotropy and dipolar interactions in an assembly of nanomagnets,1307.0342,cond-mat.mes-hall cond-mat.mtrl-sci,1,2,2013-07-01 12:14:45+00:00,,True,True,14.0,,6537.0,,466.92857142857144,1292.0,,,,,54.0,,4.0,,11.0,,0.7857142857142857,,
Interplay between surface anisotropy and dipolar interactions in an assembly of nanomagnets,1307.0342,cond-mat.mes-hall cond-mat.mtrl-sci,2,2,2013-09-26 12:09:34+00:00,86 days 23:54:49,True,True,15.0,1.0,7297.0,760.0,486.46666666666664,1385.0,12.0,99.0,0.0721500721500721,0.0100541376643464,56.0,2.0,4.0,0.0,9.0,-2.0,0.6,False,
Rainbow gravity and scale-invariant fluctuations,1307.0745,gr-qc astro-ph.CO hep-th,1,2,2013-07-02 16:12:36+00:00,,True,True,5.0,,2299.0,,459.8,659.0,,,,,24.0,,4.0,,0.0,,0.0,,
Rainbow gravity and scale-invariant fluctuations,1307.0745,gr-qc astro-ph.CO hep-th,2,2,2013-07-21 10:44:54+00:00,18 days 18:32:18,True,True,5.0,0.0,2421.0,122.0,484.2,683.0,0.0,24.0,0.0365497076023391,0.0015151515151515,27.0,3.0,4.0,0.0,0.0,0.0,0.0,False,True
Multichannel Framework for Singular Quantum Mechanics,1307.0834,hep-th math-ph math.MP quant-ph,1,2,2013-07-02 20:16:20+00:00,,True,True,36.0,,6922.0,,192.27777777777777,1466.0,,,,,90.0,,5.0,,11.0,,0.3055555555555556,,
Multichannel framework for singular quantum mechanics,1307.0834,hep-th math-ph math.MP quant-ph,2,2,2013-11-25 11:51:27+00:00,145 days 15:35:07,True,True,28.0,-8.0,9379.0,2457.0,334.9642857142857,1695.0,36.0,251.0,0.1485849056603773,0.0252215405589638,94.0,4.0,5.0,0.0,8.0,-3.0,0.2857142857142857,True,True
Room temperature compressibility and the diffusivity anomaly of liquid water from first principles,1307.1645,physics.chem-ph cond-mat.mtrl-sci,1,2,2013-07-05 15:59:05+00:00,,True,True,5.0,,2568.0,,513.6,882.0,,,,,50.0,,5.0,,4.0,,0.8,,
Room temperature compressibility and diffusivity of liquid water from first principles,1307.1645,physics.chem-ph cond-mat.mtrl-sci,2,2,2013-11-11 16:12:51+00:00,129 days 00:13:46,True,True,12.0,7.0,5891.0,3323.0,490.9166666666667,1350.0,25.0,446.0,0.3308660251665433,0.029445073612684,69.0,19.0,5.0,0.0,14.0,10.0,1.1666666666666667,True,
Dispersive regime of the Jaynes-Cummings and Rabi lattice,1307.2505,cond-mat.mes-hall cond-mat.str-el physics.atom-ph quant-ph,1,2,2013-07-09 16:07:49+00:00,,True,True,22.0,,8085.0,,367.5,1459.0,,,,,37.0,,3.0,,10.0,,0.4545454545454545,,
Dispersive regime of the Jaynes-Cummings and Rabi lattice,1307.2505,cond-mat.mes-hall cond-mat.str-el physics.atom-ph quant-ph,2,2,2013-11-07 20:01:35+00:00,121 days 03:53:46,True,True,22.0,0.0,8212.0,127.0,373.27272727272725,1474.0,8.0,22.0,0.015593220338983,0.0061643835616438,38.0,1.0,3.0,0.0,9.0,-1.0,0.4090909090909091,False,True
Internal Motion of 6.7-GHz Methanol Masers in H II Region S269,1307.3059,astro-ph.GA,1,2,2013-07-11 11:24:04+00:00,,True,True,8.0,,4035.0,,504.375,963.0,,,,,41.0,,5.0,,10.0,,1.25,,
Internal Motion of 6.7-GHz Methanol Masers in H II Region S269,1307.3059,astro-ph.GA,2,2,2013-07-12 02:09:09+00:00,0 days 14:45:05,True,True,8.0,0.0,4035.0,0.0,504.375,963.0,0.0,0.0,0.0010373443983402,0.0010373443983402,41.0,0.0,5.0,0.0,10.0,0.0,1.25,False,True
Distillation of the two-mode squeezed state,1307.3397,quant-ph,1,2,2013-07-12 10:28:04+00:00,,True,True,5.0,,2366.0,,473.2,786.0,,,,,31.0,,3.0,,4.0,,0.8,,
Distillation of the two-mode squeezed state,1307.3397,quant-ph,2,2,2013-10-21 16:49:23+00:00,101 days 06:21:19,True,True,5.0,0.0,2465.0,99.0,493.0,798.0,31.0,40.0,0.0513141426783479,0.0406607369758576,36.0,5.0,3.0,0.0,4.0,0.0,0.8,False,False
Interaction quenches in the two-dimensional fermionic Hubbard model,1307.3438,cond-mat.str-el quant-ph,1,2,2013-07-12 12:34:39+00:00,,True,True,5.0,,2478.0,,495.6,801.0,,,,,35.0,,2.0,,3.0,,0.6,,
Interaction quenches in the two-dimensional fermionic Hubbard model,1307.3438,cond-mat.str-el quant-ph,2,2,2014-03-11 12:43:03+00:00,242 days 00:08:24,True,True,7.0,2.0,4357.0,1879.0,622.4285714285714,1095.0,71.0,354.0,0.3239051094890511,0.0897755610972568,38.0,3.0,2.0,0.0,6.0,3.0,0.8571428571428571,False,False
Cornering light Neutralino Dark Matter at the LHC,1307.4119,hep-ph hep-ex,1,2,2013-07-15 22:23:46+00:00,,True,True,25.0,,7605.0,,304.2,1397.0,,,,,86.0,,4.0,,13.0,,0.52,,
Cornering light Neutralino Dark Matter at the LHC,1307.4119,hep-ph hep-ex,2,2,2013-10-22 17:56:54+00:00,98 days 19:33:08,True,True,26.0,1.0,7746.0,141.0,297.9230769230769,1410.0,18.0,27.0,0.0198440822111977,0.013590844062947,89.0,3.0,4.0,0.0,12.0,-1.0,0.4615384615384615,False,True
Massive gauge boson pair production at the LHC: a next-to-leading order story,1307.4331,hep-ph hep-ex,1,3,2013-07-16 16:25:30+00:00,,True,True,40.0,,10555.0,,263.875,1255.0,,,,,72.0,,3.0,,45.0,,1.125,,
Massive gauge boson pair production at the LHC: a next-to-leading order story,1307.4331,hep-ph hep-ex,2,3,2013-12-05 19:14:41+00:00,142 days 02:49:11,True,True,41.0,1.0,11087.0,532.0,270.4146341463415,1273.0,14.0,37.0,0.0298273155416012,0.0119426751592356,76.0,4.0,3.0,0.0,43.0,-2.0,1.048780487804878,False,False
Massive gauge boson pair production at the LHC: a next-to-leading order story,1307.4331,hep-ph hep-ex,3,3,2016-11-08 08:37:28+00:00,1068 days 13:22:47,True,True,41.0,0.0,11095.0,8.0,270.609756097561,1269.0,6.0,2.0,0.0023622047244094,0.0054945054945054,76.0,0.0,3.0,0.0,43.0,0.0,1.048780487804878,False,True
"Quark masses, mixings and CP violation from spontaneous breaking of flavour SU (3) 3",1307.4412,hep-ph,1,2,2013-07-16 20:03:12+00:00,,True,True,19.0,,6326.0,,332.94736842105266,1148.0,,,,,26.0,,3.0,,5.0,,0.2631578947368421,,
"Quark masses, mixings, and CP violation from spontaneous breaking of flavor SU (3) 3",1307.4412,hep-ph,2,2,2014-02-25 00:24:53+00:00,223 days 04:21:41,True,True,12.0,-7.0,6267.0,-59.0,522.25,1158.0,96.0,113.0,0.0983606557377049,0.0844212358572671,20.0,-6.0,2.0,-1.0,3.0,-2.0,0.25,True,False
Are the Kepler Near-Resonance Planet Pairs due to Tidal Dissipation?,1307.4874,astro-ph.EP,1,2,2013-07-18 09:14:29+00:00,,True,True,20.0,,4877.0,,243.85,984.0,,,,,49.0,,3.0,,7.0,,0.35,,
Are the Kepler Near-Resonance Planet Pairs due to Tidal Dissipation?,1307.4874,astro-ph.EP,2,2,2013-07-22 18:09:58+00:00,4 days 08:55:29,True,True,20.0,0.0,4888.0,11.0,244.4,987.0,0.0,1.0,0.0020242914979757,0.0010152284263959,50.0,1.0,3.0,0.0,7.0,0.0,0.35,False,True
"Formal multidimensional integrals, stuffed maps, and topological recursion",1307.4957,math-ph hep-th math.CO math.MP,1,3,2013-07-18 14:19:17+00:00,,True,True,33.0,,8990.0,,272.42424242424244,1435.0,,,,,36.0,,1.0,,4.0,,0.1212121212121212,,
"Formal multidimensional integrals, stuffed maps, and topological
  recursion",1307.4957,math-ph hep-th math.CO math.MP,2,3,2013-07-23 15:11:09+00:00,,False,False,,,,,,,,,,,,,,,,,,,
"Formal multidimensional integrals, stuffed maps, and topological recursion",1307.4957,math-ph hep-th math.CO math.MP,3,3,2013-09-17 20:07:12+00:00,,True,True,31.0,,8860.0,,285.80645161290323,1442.0,,,,,37.0,,1.0,,5.0,,0.1612903225806451,,
RANDOM WEIGHTED SOBOLEV INEQUALITIES ON R d AND APPLICATION TO HERMITE FUNCTIONS,1307.4976,math.AP math-ph math.CA math.MP math.SP,1,2,2013-07-18 15:22:15+00:00,,True,True,37.0,,7108.0,,192.1081081081081,1053.0,,,,,23.0,,2.0,,18.0,,0.4864864864864865,,
RANDOM WEIGHTED SOBOLEV INEQUALITIES ON R d AND APPLICATION TO HERMITE FUNCTIONS,1307.4976,math.AP math-ph math.CA math.MP math.SP,2,2,2013-12-16 20:27:57+00:00,151 days 05:05:42,True,True,37.0,0.0,7322.0,214.0,197.8918918918919,1093.0,12.0,49.0,0.0457038391224862,0.0123339658444022,26.0,3.0,2.0,0.0,21.0,3.0,0.5675675675675675,False,True
